Unnamed: 0,Hindi,English
0,है,Is
1,के,Of
2,मैं,I
3,नहीं,No
4,हैं,Are
5,में,In
6,एक,One
7,आप,You
8,लिए,For
9,और,And
10,यह,it
11,से,From
12,की,of
13,क्या,What
14,कि,That
15,तुम,You
16,हो,yes
17,कर,Tax
18,मुझे,Me
19,को,To
20,हम,We
21,था,Was
22,वह,He
23,पर,But
24,हूँ,am
25,रहे,are
26,भी,Too
27,रहा,Stayed
28,का,Of
29,अपने,Our
30,कुछ,Some?
31,तो,So
32,गया,Went
33,इस,This
34,मेरे,My
35,ठीक,Correct
36,करने,to do
37,किया,Did
38,साथ,with
39,उसे,Him
40,हाँ,Yes
41,वे,They
42,सकते,Can
43,लेकिन,But
44,यहाँ,Here
45,तुम्हें,to you
46,कोई,Any
47,तरह,Kind
48,अब,Now
49,पता,Address
50,होगा,will be
51,बहुत,Very
52,बात,talk
53,सकता,Can
54,जाओ,Go
55,दिया,Gave
56,करना,to do
57,जा,Go
58,मेरी,My
60,बारे,about
61,लगता,feels like
62,कहा,Said
63,जो,Who
64,वहाँ,There
65,जब,When
66,अच्छा,Good
67,चाहिए,Needed
68,बाहर,Outside
69,करो,do it
70,क्यों,Why
71,अपनी,Own
72,थे,Were
73,चलो,Let us go
74,दो,Two
75,ले,Take
76,किसी,Any 
77,फिर,Then
78,काम,Work
79,अगर,If
80,ये,These
81,कैसे,How
82,करते,Do
83,पहले,First
84,बस,Bus
85,चाहते,Want
86,जाएगा,will go
87,आदमी,Man
88,कभी,Sometimes
89,समय,Time
90,वापस,Back
91,हमें,Us
92,रही,doing
93,आ,Come
94,तक,till
95,हमारे,Our
96,मेरा,My
97,रूप,Form
98,मैंने,I
99,करता,does
100,या,Or
101,अभी,Now!
102,मिल,mill
103,चाहता,wants
104,घर,Home
105,उसके,His
106,सभी,All
107,उस,That
108,मत,Don't
109,आपको,To you
110,जाना,Go
111,अरे,Oho
112,सिर्फ,Only
113,बंद,Close
114,ओह,Oh
115,उन्हें,Them
116,सही,Correct
117,हूं,Am
118,थी,Was
119,देखो,See
120,ने,has
121,तुम्हारे,Your
122,प्यार,Love
123,वो,They
124,जरूरत,Need
125,लोगों,people
126,हुआ,Happened
127,करें,do
128,ऐसा,As such
129,उन्होंने,They
130,दिन,Day
131,न,No
132,बाद,after
133,कौन,Who
134,हर,every
135,पास,Near
136,दे,Give
137,नीचे,Below
138,देखा,saw
139,जाता,go
140,बार,Times
141,कृपया,Please
142,धन्यवाद,Thank you
143,पिता,Father
144,करेंगे,do
145,भगवान,God
146,क्योंकि,Because
147,लोग,People
148,वाला,the one
149,जानते,Know
150,देख,See
151,आज,Today
152,मतलब,Meaning
153,कहाँ,Where?
154,जीवन,Life
155,आओ,Come
156,जाने,go
157,अधिक,More
158,यही,This only
159,होता,Would
160,सर,Sir
161,मदद,Help
162,रात,Night
163,माँ,Mother
164,लिया,took
165,केवल,Only
166,तुमने,you have
167,सबसे,To all
168,मार,Kill
169,हुए,happened
170,हमेशा,Always
171,याद,Memory
172,कारण,Reason
173,गए,Went
174,आया,Came
175,जानता,knows
176,शायद,Perhaps
177,साल,Year
178,दूर,away
179,हे,hey
180,होने,to be
181,फोन,Phone
182,भाई,Brother
183,वास्तव,really
184,शुरू,Start
185,उसकी,His
186,मिला,found
187,जगह,Place
188,कोशिश,Effort
189,कम,Less
190,लग,Lag
191,शादी,Marriage
192,पसंद,Like
193,चला,walked
194,इन,in
195,अच्छी,Good
196,तुम्हारी,yours
197,यहां,Here
198,दोस्त,Friend
199,मर,Die
200,कहते,say
201,होना,Happen
202,दुनिया,World
203,तुम्हारा,yours
204,एम,M
205,कह,Say
206,इसके,Its
207,रुको,wait
208,तैयार,Ready
209,बच्चे,Children
210,उन,Wool
211,लो,Take
212,उनके,Their
213,जैसे,As
214,इतना,This much
215,जल्दी,Quick
216,अंदर,Inside
217,श्री,Mister
218,यदि,If
220,कल,Tomorrow
221,ऊपर,Above
222,देंगे,will give
223,आपके,Your
224,हमारी,Our
225,बताओ,Tell
226,खुद,Self
227,गई,Went
228,अपना,own
229,खैर,well
230,उसने,He
231,वाले,ones
232,चलते,Go
233,रहो,Stay
234,दी,Gave
235,मिलता,get
236,बेहतर,better
237,बकवास,Nonsense
238,पीछे,Back
239,द्वारा,By
240,मुझसे,Me
241,हाथ,Hand
242,विश्वास,faith
243,पूरी,Complete
244,ना,No
245,महिला,Woman
246,लड़की,Girl
247,आपका,Yours
248,देखने,to see
249,तुमसे,To you
250,लगा,Put
251,उसका,His
252,चल,Ambulatory
253,ओर,Side
254,मिनट,minutes
255,समझ,Understanding
256,बिना,Without
257,बता,tell me
258,तीन,Three
259,सुनो,Listen
260,पैसे,money
261,होगी,will happen
262,दोनों,Both
263,कहना,Tell
264,पुलिस,Police
265,देना,Give
266,पुरुष,Male
267,कहीं,somewhere
268,बना,made
269,परिवार,Family
270,खो,lost
271,दिल,Heart
272,हां,Yes
273,लेने,to take
274,बेटा,Son
275,सोचा,thought
276,आगे,Ahead
277,जहां,Where
278,पागल,crazy
279,सुना,heard
280,जाते,going
281,चले,Let's go
282,बोल,Lyrics
283,गलत,Wrong
284,ज्यादा,More
285,महसूस,Feel
286,सकती,can
287,यकीन,faith
288,इसलिए,so
289,पी,P
290,डर,Fear
291,आता,Comes
292,आपकी,Yours
293,लड़का,Boy
294,उह,uhh
295,समस्या,Problem
296,बुरा,bad
297,सुंदर,Beautiful
298,छोटे,small
299,बताया,told
300,खत्म,End
301,आने,to come
302,माफ,sorry
303,कमबख्त,fucking
304,यार,Buddy
305,बीच,between
306,दूसरे,Others
307,काफी,Enough
308,भूल,Mistake
309,ध्यान,Attention
310,हुई,Hui
311,तब,Then
312,बेटी,Daughter
313,रहने,stay
314,खेल,game
315,बड़ा,Big
316,माफी,Forgiveness
317,बच्चों,children
318,शहर,City 
319,आह,Ahh
320,पूरा,Complete
321,बदल,change
322,देने,to give
323,देखते,watching
324,देर,Late
325,डाल,Branch
326,बिल्कुल,Absolutely
327,कई,Many
328,वाह,Wow
329,सोच,Thinking
330,भुगतान,Payment
331,जैक,jack
332,बेटे,son
333,मुझ,Me
334,पानी,Water
335,महोदय,Sir
336,आग,Fire
337,देता,gives
338,कहां,Where
339,चिंता,Worry
340,रखना,Keep
341,उससे,from him
342,पहली,First
343,बनाने,make
344,गोली,Gun Shot
345,माध्यम,Channel
346,सुरक्षित,Safe
347,देखना,Look
348,वहां,There
349,इससे,From this
350,इसका,Its
351,मारा,hit
352,पत्नी,Wife
353,रहना,stay
354,पार्टी,Party
355,अन्य,Other
356,अच्छे,good
357,हैलो,Hello!
358,महान,Great
359,आए,Returns
360,क्षमा,Forgiveness
361,पिछले,last
362,मारने,to kill
363,रहते,live
364,वादा,Promise
365,राजा,King
366,इंतजार,Wait
367,उनकी,their
368,सुबह,Morning
369,सिर,Head
370,नए,New
371,विचार,Idea
372,दोस्तों,Friends
373,योजना,Plan
374,प्राप्त,get
375,घंटे,hours
376,खुश,Happy 
377,अंत,Ending
378,करती,does
379,करेगा,will do
380,थोड़ा,Little
381,सम्मान,Respect
382,आदेश,Order
383,पूरे,the whole
384,अलग,apart
385,उम्मीद,Hope
386,आर,R
387,पाने,to get
388,औरत,women
389,इतनी,So much
390,लड़के,boys
391,गिर,fall
392,संगीत,music
393,रास्ता,way
394,युद्ध,war
395,रास्ते,ways
396,हमारा,Our
397,जारी,Ongoing
398,मन,Mind
399,लड़ाई,battle
400,डाला,inserted
401,शुक्रिया,Thanks
402,मुश्किल,difficult
403,आराम,Rest
404,चुका,paid off
405,प्रिय,Dear
406,झूठ,Lie
407,बंदूक,gun
408,खुशी,Happiness
409,नरक,hell
410,आशा,Hope
411,चुप,Silent
412,उपयोग,Use
413,सवाल,Question
414,आपने,You
415,वैसे,By the way
416,देश,Country
417,रखो,Please Keep
418,असली,Real
419,बड़ी,Big
420,जैसा,As
421,सुन,Listen
422,हाय,Hi
423,चोट,Injury
424,रखा,kept
425,मौत,Death
426,पापा,Father
427,पर्याप्त,Sufficient
428,पुरुषों,men
429,शांत,Calm
430,पुराने,old
431,हंसते,laughing
432,सा,Like
433,दें,give
434,पकड़,grasp
435,बहन,Sister
436,सामने,Front
437,सुरक्षा,Security
438,खाने,to eat
439,खाना,Eat
440,चाचा,Uncle
441,बन,become
442,अमेरिका,America
443,परेशान,Worried
444,बच्चा,Child
445,सी,C
446,जवाब,answer
447,सेना,Army
448,आसान,Easy
449,पैसा,Money
450,ऐसे,This way
451,महीने,month
452,रखने,to keep
453,छोटी,Small
454,अलविदा,goodbye
455,कदम,step
456,अगले,next
457,भाग,Part
458,नमस्ते,hello
459,सारे,all
460,लंबे,long
461,देते,give
462,कॉल,Call
463,छोटा,Small
464,भाड़,Screw
465,बनाया,Make
466,हमने,We
467,स्थिति,Situation
468,इस्तेमाल,use
469,कैसा,How?
470,होती,would have been
471,गलती,Mistake
472,राम,Ram
473,नष्ट,destroyed
474,स्वागत,Welcome
475,अजीब,Strange
476,रह,stay
477,व्यक्ति,Person
478,मूर्ख,Idiot
479,तुम्हे,To you
480,सिकंदर,Alexander
481,मै,i
482,मालिक,Owner
483,गंदगी,dirt
484,रखें,keep
485,नौकरी,Job
486,हांक,hank
487,जीत,Victory
488,कंपनी,company
489,लेंगे,will take
490,चारों,all four
491,तस्वीर,picture
492,रहता,remains
493,कहानी,Story
494,खड़े,standing
495,रोक,Stoppage
496,बातें,things
497,अकेले,Lonely
498,किस,What
499,साफ,Clean
500,िलए,for
501,मौका,Opportunity
502,भरोसा,Reliance
503,चिल्ला,screaming
504,जहाँ,Where
505,कसम,swear
506,सारा,Sara
507,करीब,near
508,जान,Life
509,तुलना,Compare
510,इतने,So much
511,कब,When?
512,यात्रा,Travel
513,हमला,assault
514,रक्षा,protect
515,पाया,Found
516,जल्द,Soon
517,पति,Husband
518,गयी,went
519,जहाज,ship
520,बेबी,Baby
521,हवा,Air
522,दरवाजा,Door
523,जाएगी,will go
524,कहता,says
525,स्कॉट,Scott
526,मिलेगा,will get
527,मां,Mother
528,वाली,the one
529,वजह,Reason
530,महत्वपूर्ण,Important
531,जय,Victory
532,अकेला,alone
533,सामान,stuff
534,सो,s / o
535,रख,keep
536,शामिल,Involved
537,नया,New
538,मिलने,to meet
539,निश्चित,Fixed
540,करनी,to do
541,स्कूल,School
542,जेल,Jail
543,तरफ,Side
544,बड़े,elder
545,पल,Moment
546,अंतिम,Last
547,ब्रायन,brian
548,पैदा,born
549,चार,Four
550,कहने,to say
551,इंदर,indar
552,इंतज़ार,wait
553,जी,Yes
554,मातृभाषा,Mother tongue
555,अस्पताल,hospital
556,जाँच,Check
557,बर्बाद,Ruined
558,दर्द,Pain
559,दिनों,days
560,शॉन,shaun
561,पृथ्वी,Earth
562,महिलाओं,women
563,पूछ,ask
564,लगभग,About
565,नफरत,Hate
566,बताने,tell
567,देखें,see
568,ट्रेवर,Trevor
569,सप्ताह,Week
570,बेशक,Of course!
571,डॉक्टर,Doctor
572,पांच,Five
573,स्पष्ट,clear
574,लगी,felt
575,इसकी,his
576,तोड़,the break
577,मजाक,Joke
578,पालन,Compliance
579,यहीं,right here
580,खाता,Account
581,क्षेत्र,Area
582,भर,Filled
583,मामले,cases
584,खबर,News
585,ज़रूरत,need
586,सड़क,road
587,हत्या,the killing
588,समाप्त,End
589,प्रकार,Type
590,ली,Took
591,संदेश,Message
592,क्लिक,Click
593,माफ़,sorry
594,शब्द,Word
595,खिलाफ,Against
596,खून,Blood
597,जॉन,John
598,लाने,to bring
599,शक्ति,Power
600,जाए,go
601,फ्यूरर,furor
602,भोजन,Meal
603,आवाज,Sound
604,हिस्सा,Part
605,कमीने,Bastard
606,वही,Same
607,भेजा,Sent
608,होंगे,will be
609,देगा,will give
610,जानती,knows
611,गधे,donkey
612,रंग,Colour
613,मृत,dead
614,शांति,Calmness
615,आश्चर्य,Wonder
616,बेवकूफ,Idiot
617,शरीर,Body
618,इच्छा,Desire
619,टीम,Team
620,बचा,save
621,होते,would have been
622,कहो,Say
623,आना,come
624,लाइन,Queue
625,मरने,to die
626,व्यापार,Business
627,कितनी,How many
628,सं,no
629,दुश्मन,Enemy
630,तेजी,fast
631,स्वीकार,Accept
632,जिस,That
633,जीवित,alive
634,बाकी,Balance
635,पार,across
636,दस,Ten
637,कमरे,rooms
638,संभाल,take care
639,खोज,Search
640,आसपास,nearby
641,कार्यालय,Office
642,बढ़िया,Excellent
643,मिशन,Mission
644,बर्ट,bert
645,खेद,Regret
646,लेकर,taking
647,डौग,Doug
648,चोरी,Theft
649,चेहरे,faces
650,एंडी,andy
651,हम्म,Hmm
652,चुके,finished
653,जानेमन,sweetheart
654,राष्ट्रपति,President
655,हथियार,Weapon
656,सरकार,Government
657,पूर्व,East
658,जंगल,Forest
659,बचाने,save
660,लेना,Take
661,मानव,human
662,बेकार,Useless
663,ग्रह,Planet
664,करके,by doing
665,सोचते,thinking
666,लाया,brought
667,गये,gone
668,नेता,Leader
669,हा,Ha
670,जांच,Test
671,साथी,partner
672,बैठ,sit down
673,साहब,Sir
674,प्रार्थना,Prayer
675,यीशु,Jesus
676,अनुमति,Permission
677,मजबूत,Strong
678,लड़कियों,girls
679,भेज,send
680,पूछना,Ask
681,विकल्प,Option
682,सीधे,directly
683,खोजने,find
684,सवारी,Ride
685,नंबर,Number
686,मैडम,Madam
687,विशेष,Specific
688,दूसरी,second
689,ख्याल,Care
690,उत्तर,Answer
691,दिमाग,Brain
692,मुक्त,Free
693,उनका,their
694,उनमें,In those
695,कॉलेज,College
696,कप्तान,captain
697,हाउस,House
698,निशान,Mark
699,आवश्यकता,Need
700,पेड़,Tree
701,सारी,all
702,निकल,Out
703,ऐसी,Such
704,श्रीमान,Sir
705,हालांकि,Although
706,जिंदा,Alive
707,पैर,Feet
708,युवा,Youth
709,तय,fixed
710,राज्य,State
711,जादू,Magic
712,जानकारी,Information
713,नई,New
714,शॉ,shaw
715,इसमें,In this
716,सुनिश्चित,ensure
717,बुरी,bad
718,पीठ,Back
719,समुद्र,Sea
720,पड़ा,lay down
721,व्हाइट,white
722,गर्म,warm
723,कोड,code
724,कठिन,Difficult
725,मुसीबत,Trouble
726,लायक,Worthy
727,सोने,gold
728,छह,Six
729,रेडियो,radio
730,समझते,understand
731,करोगे,will do
732,दरवाजे,doors
733,सेकंड,seconds
734,भविष्य,Future
735,जला,burn
736,सामान्य,General
737,कोडी,cody
738,खाली,Empty
739,निर्णय,Decision
740,दूसरों,others
741,गति,motion
742,नियंत्रण,Control
743,गंभीर,Serious
744,आँखें,eyes
745,चाल,move
746,परमाणु,atom
747,बिस्तर,Bed
748,अधिकार,rights
749,गायब,Missing
750,कपड़े,Clothes
751,लक्ष्य,Target
752,तेज,Quick
753,प्रेज़ीडेंट,President
754,दौरान,during
755,चलिए,Let go
756,जाती,caste
757,तरीका,Method
758,चेहरा,face
759,उड़ान,flight
760,जबकि,Whereas
761,जिम,gym
762,ड्राइव,Drive
763,तुरंत,Immediately
764,लानत,damn
765,निर्माण,Construction
766,दूसरा,Second
767,ग्रन्ट्स,grunts
768,संभव,possible
769,कुतिया,Bitch
770,सक्षम,Able
771,कॉफी,coffee
772,विंसेंट,vincent
773,सावधान,Attention
774,पहुँच,access
775,सांस,Breath
776,प्रवेश,Entry
777,सपना,Dream
778,बिजली,Electricity
779,पेले,Pele
780,इंजन,engine
781,तरीके,methods
782,लड़कों,boys
783,दुकान,Shop
784,संपर्क,Contact
785,सेवा,Service
786,पूछा,Asked
787,चुकी,finished
788,बुला,Call
789,मारो,Beat
790,अलावा,apart from
791,करूँगा,will do
792,फेंक,throw
793,ड्रैगन,Dragon
794,नमस्कार,Hello
795,उठो,get up
796,पक्ष,Party
797,बीमार,Sick
798,धीरे,Slow
799,भारी,Heavy
800,पकड़ो,hold on
801,मिले,meet
802,प्रभु,Lord
803,लगाने,to put
804,ओक्जा,Okja
805,खा,Eat
806,सहमत,Agree
807,रिपोर्ट,Report
808,मृत्यु,death
809,चाय,Tea
810,बैठक,meeting
811,सात,Seven
812,खराब,Bad
813,नुकसान,Loss
814,खर्च,Expenditure
815,पड़ता,falls
816,लाख,Lakh
817,समझा,understood
818,निकाल,take out
819,बिलकुल,Absolutely
820,प्लीज़,please
821,बारी,turn
822,भूमि,land
823,लेते,take
824,खींच,pull
825,दूँगा,will give
826,जमीन,land
827,कार्य,Work
828,सामना,face
829,बजे,time
830,आई,I
831,प्रकाश,Light
832,लें,take
833,सूअर,Pig
834,चाची,Aunt
835,लेफ्टिनेंट,Lieutenant
836,देखेंगे,will see
837,चीजें,things
838,छोड़ने,leaving
839,पीछा,chase
840,बढ़,increase
841,भाग्यशाली,lucky
842,गर्व,Proud
843,ताकि,So that
844,टूट,break
845,शानदार,Fabulous
846,उच्च,High
847,भाग्य,Luck
848,टायर,Tire
849,पहला,First
850,ओम,Om
851,डी,D
852,सौदा,deal
853,काट,cutting
854,कराह,groan
855,खूबसूरत,Beautiful
856,गड़बड़,Mess
857,फैसला,Decision
858,ज़रूर,Sure
859,प्रतीक्षा,Wait
860,थोड़ी,a little
861,वर्ष,Year
862,नही,No
863,दिखाने,to show
864,परिवर्तन,Change
865,समुद्री,marine
866,आनंद,Pleasure
867,रोकने,to stop
868,सूट,Suit
869,शिकार,Hunt
870,मारे,killed
871,साइमन,Simon
872,मील,miles
873,जानना,Know
874,वक्त,time
875,सैम,Sam
876,धोखा,Danger
877,चिंतित,Concerned
878,जन्मदिन,birthday
879,टीवी,TV
880,कल्पना,Imagination
881,पा,Pa
882,बधाई,Congrats
883,होटल,hotel
884,पुरानी,Old
885,इसी,This 
886,हिम्मत,Courage
887,राहुल,A male name
888,हेलो,Hi
889,लाल,Red
890,समर्थन,Support
891,जिसे,whom
892,कार्ड,card
893,चलें,let's go
894,बेच,sell
895,डॉलर,Dollar
896,जाएंगे,will go
897,जाएँ,go to
898,माफ़,sorry
899,ए,A
900,गले,throat
901,बदलने,to change
902,प्यारी,cutie
903,भयानक,Horrible
904,अचानक,Suddenly
905,कानून,Law
906,उसी,the same
907,खतरनाक,Dangerous
908,बच,escape
909,स्थान,place
910,भागो,Run
911,रक्त,blood
912,उड़ा,blow up
913,साबित,proved
914,दक्षिण,South
915,उम्र,Age
916,रहें,stay
917,सोचता,thinking
918,सुनने,listen to
919,बैठो,have a sit
920,तलाश,seek
921,शाम,Evening
922,मास्टर,master
923,धत्,goddamn
924,बुलाया,called
925,मानना,Accept
926,व्यस्त,Busy
927,ज़्यादा,more
928,दूंगा,Give
929,अप,Up
930,फ़ोन,phone
931,ऐलिस,Alice
932,खड़ा,Stand
933,सोचो,think about
934,करूंगा,will do
935,डॉ,Dr
936,रानी,Queen
937,एलिजाबेथ,elizabeth
938,रो,Cry
939,आये,came
940,करोड़,Ten million
941,दूरी,distance
942,लेता,takes
943,हार,Garland
944,बज,Buzz
945,एरिक,Eric
946,कीजिए,do it
947,छत,Roof
948,सके,could
949,माता,Mother
950,मिली,Millie
951,देखकर,after seeing
952,देखभाल,Care
953,अध्यक्ष,chairman
954,पहचान,Identification
955,पूछो,Ask
956,तूफान,storm
958,किए,did
959,तौर,manner
960,एन,n
961,दीवार,Wall
962,इलाज,Treatment
963,मुख्य,main
964,शराब,Liquor
965,सेट,set
966,कराहना,to groan
967,सज्जनों,gentlemen
968,फर्क,difference
969,राजनीति,Politics
970,कमांडर,the commander
971,प्रणाली,System
972,दिखाई,appeared
973,बम,Bomb
974,जाकर,by going
975,हाल,Condition
976,स्टेशन,station
977,लाओ,bring
978,घुरघुराना,grunt
979,भारत,India
980,पश्चिम,West
